Date,High,Low,Close,upper_bb,middle_bb,lower_bb,%k,%d,buy_price,sell_price,bb_stoch_signal,position
2021-06-18,3203.638188530344,3124.4535638585103,3145.728515625,3179.1002328032496,2916.389391220188,3047.7448120117188,75.02054131807463,82.9602836220392,,,0,0
2021-06-21,3134.9477834007057,3102.2244535028763,3122.640869140625,3179.592342365433,2935.6075355642542,3057.5999389648437,65.06163665698261,77.26782392267374,,,0,0
2021-06-22,3174.1115220362167,3133.994438575284,3149.44970703125,3187.931185237005,2945.1281897629947,3066.5296875,75.8659219059878,71.98269996034834,,,0,0
2021-06-23,3175.9718914887935,3106.7090890028844,3111.479248046875,3191.712592211279,2951.163848218408,3071.4382202148436,58.54088607015589,66.48948154437544,,,0,0
2021-06-24,3227.4890445009523,3127.7927379238463,3218.521240234375,3216.1845784658276,2945.1618814951103,3080.673229980469,96.23099485348992,76.87926760987786,,,0,0
2021-06-25,3243.373983948718,3196.006400170078,3225.390625,3236.3219149354654,2947.6542081114094,3091.9880615234374,91.16898001208745,81.98028697857774,,,0,0
2021-06-28,3235.5982211372993,3179.78737167938,3183.364990234375,3245.391266660577,2955.5285087300476,3100.4598876953123,70.53161067089411,85.97719517882382,,,0,0
2021-06-29,3211.556915325322,3173.58640758976,3187.27685546875,3252.446674168273,2966.394610011414,3109.4206420898436,71.54607915874666,77.74888994724273,,,0,0
2021-06-30,3226.5353103634275,3185.0349301148144,3191.95166015625,3254.6984985831655,2984.778478955897,3119.738488769531,71.42857254956458,71.16875412640178,,,0,0
2021-07-01,3207.454377156825,3179.167432167315,3187.896728515625,3254.3061624700094,3004.275258428428,3129.2907104492188,60.735945687315905,67.90353246520904,,,0,0
2021-07-02,3186.1796687216283,3143.725257447837,3172.584716796875,3248.168570319466,3027.7475673758463,3137.9580688476562,49.89886200197512,60.68779341295186,,,0,0
2021-07-05,3218.9032848786605,3150.212995456235,3168.339599609375,3244.569187765492,3044.4935807891957,3144.531384277344,46.840500211133715,52.49176930014156,,,0,0
2021-07-06,3175.0172332311136,3106.4224528798395,3112.33740234375,3239.2929391511575,3055.699150692593,3147.496044921875,7.164705974529631,34.63468939587948,,,0,0
2021-07-07,3131.7995066658004,3092.5889474070045,3124.40576171875,3232.368080199414,3069.7506209724606,3151.0593505859374,21.10077700113407,25.03532772893246,,,0,0
2021-07-08,3146.396902901786,3083.3353072234563,3108.712646484375,3227.559582714372,3078.5374631840655,3153.0485229492188,15.857003931920755,14.707495635861477,,,0,0
2021-07-09,3131.1320932360527,3053.8555242073753,3060.6767578125,3234.3013451593765,3065.532468317186,3149.9169067382813,3.599244957158474,13.51900863007109,,,0,0
2021-07-12,3087.2467162089156,3041.7871968830755,3046.31884765625,3241.814312142623,3050.077142935502,3145.9457275390623,2.2479899794716687,7.234746289516956,,,0,0
2021-07-13,3066.258264939927,3029.051024015018,3041.024169921875,3248.294593633913,3036.4226426942123,3142.3586181640626,5.586497083915294,3.811244006848469,,,0,0
2021-07-14,3073.889959874068,3038.590789012696,3066.782470703125,3250.494335322911,3028.5177984661514,3139.506066894531,17.604948485117582,8.479811849501505,,,0,0
2021-07-15,3090.016595552814,3053.82759347443,3062.384765625,3249.7747444013203,3018.95201341118,3134.36337890625,16.138559164396522,13.11000157780979,,,0,0
2021-07-16,3078.542981513991,3051.9151199447406,3054.59228515625,3250.4085146884286,3009.204620077196,3129.8065673828123,12.93331313265664,15.558940260723569,,,0,0
2021-07-19,3059.372970903524,3036.617415875135,3044.840087890625,3252.36872305176,2999.464333588865,3125.9165283203124,7.995098834218845,12.355657043757326,,,0,0
2021-07-20,3073.9055744375673,3017.638189292391,3065.109375,3250.451646653095,2992.9473767844047,3121.69951171875,23.58639761620323,14.838269861026228,,,0,0
2021-07-22,3083.418971343978,3050.0028426838276,3075.196533203125,3250.256130397783,2989.514621555342,3119.8853759765625,28.598274203021173,20.059923551147737,,,0,0
2021-07-23,3099.289776118747,3065.921274767619,3071.849365234375,3235.871074527004,2989.2324899261207,3112.5517822265624,26.93520989522356,26.373293904815977,,,0,0
2021-07-26,3082.749871059882,3050.8157640137138,3057.2216796875,3217.6066175952183,2990.6800523266566,3104.1433349609374,25.151690723525643,26.89505827392345,,,0,0
2021-07-27,3069.1251305958117,3022.418880642897,3043.26220703125,3207.257848413518,2987.018543188045,3097.1381958007814,19.90080284320998,23.995901153986384,,,0,0
2021-07-28,3063.8185119796262,2994.9304729238384,3057.46044921875,3193.4572005618434,2987.8375504147193,3090.6473754882813,41.28305942380475,28.77851766351345,,,0,0
2021-07-29,3083.8965260794507,3050.2892268279033,3055.5478515625,3175.8751750170945,2991.779195100093,3083.827185058594,44.50562225303099,35.22982817334856,,,0,0
2021-07-30,3082.0331009047027,3023.566830347691,3028.44287109375,3156.915391826458,2994.793592548542,3075.8544921875,32.11251622418522,39.30039930034031,,,0,0
2021-08-02,3083.370685398259,3028.011800787796,3078.112060546875,3138.2736545942184,3003.9880641557816,3071.130859375,79.70692125807037,52.108353245095515,,,0,0
2021-08-03,3145.6138216790105,3077.6819020362386,3140.737548828125,3129.171104919189,3010.330408752686,3069.7507568359374,96.76389402600259,69.52777716941938,,,0,0
2021-08-04,3160.1471092753522,3118.0781044156565,3130.2685546875,3133.230143038114,3008.064485868136,3070.647314453125,81.91552906071588,86.12878144826294,,,0,0
2021-08-05,3169.516967400113,3119.320997328166,3139.82958984375,3137.0942987437,3005.7427129750495,3071.418505859375,82.99560476002486,87.22500928224777,,,0,0
2021-08-06,3178.1221790372915,3121.711466473152,3164.54541015625,3150.4564539328708,2997.9638341530667,3074.2101440429688,92.58876443203535,85.83329941759202,,,0,0
2021-08-09,3190.5511334901175,3164.7360658832154,3176.878662109375,3168.631337347524,2991.409141168101,3080.0202392578126,93.01072221044356,89.53169713416791,,,0,0
2021-08-10,3202.8852216938885,3170.0907082029876,3187.58740234375,3186.273779401011,2987.8935545833638,3087.0836669921873,92.64367876154904,92.74772180134262,,,0,0
2021-08-11,3212.541945472729,3181.0858989604512,3197.435302734375,3203.06249607666,2986.7459511889647,3094.9042236328123,93.05797504083341,92.90412533760866,,,0,0
2021-08-12,3220.1911454837023,3180.0343675412096,3204.654296875,3219.5578922457175,2984.037737637095,3101.797814941406,93.10272475344169,92.93479285194137,,,0,0
2021-08-13,3327.276123942855,3210.1521799247516,3311.404541015625,3263.0343214090217,2965.463286012853,3114.2488037109374,95.22437471994424,93.7950248380731,,,0,0
2021-08-16,3340.9961302776533,3285.68485722137,3320.53515625,3299.598722105384,2955.493172425866,3127.545947265625,94.08754564549751,94.13821503962781,,,0,0
2021-08-17,3404.5295096459563,3311.0215485938475,3397.11962890625,3350.4760678225944,2939.8437808102185,3145.1599243164064,98.05495888643073,95.78895975062414,,,0,0
2021-08-18,3437.2290891402795,3381.392136945874,3404.291015625,3393.9190730999626,2930.3189395953495,3162.119006347656,92.037447745071,94.72665075899972,,,0,0
2021-08-20,3418.106137830432,3346.397617456367,3403.286376953125,3430.0232417698794,2927.023755300433,3178.5234985351562,91.70545498607635,93.93262053919268,,,0,0
2021-08-23,3511.805809330825,3405.581478166534,3477.76806640625,3478.0578773015595,2919.5809898859407,3198.81943359375,92.1594405761492,91.96744776909884,,,0,0
2021-08-24,3506.4040739532957,3436.6553847831747,3454.63037109375,3511.721083869212,2925.6586524589125,3218.6898681640623,85.47843153445504,89.78110903222687,,,0,0
2021-08-25,3535.469820075232,3448.7503447049494,3498.42041015625,3547.5215588589945,2935.3739977816304,3241.4477783203124,91.0970768403446,89.57831631698294,,,0,0
