Date,High,Low,Close,Volume,%k,%d,macd,macd_signal,macd_hist,buy_price,sell_price,stoch_macd_signal,position
2024-01-25,9906.232145785947,9724.696807462042,9788.5439453125,718817,28.535860201258867,34.28554881927279,-94.82212681992678,-92.56239815356643,-2.2597286663603455,,,0,1
2024-01-29,9941.102781845404,9782.649236097739,9897.9111328125,446516,50.51262223909555,42.974708508006955,-88.44037297635259,-91.73799311812367,3.297620141771077,,,0,1
2024-01-30,9939.61694903778,9838.571358884607,9858.533203125,399869,42.59983404304861,40.54943882780102,-85.57381523379263,-90.50515754125746,4.931342307464831,,,0,1
2024-01-31,10139.825573645458,9820.244514008014,10091.58203125,997024,89.42977230858027,60.847409530241485,-63.76194677897911,-85.1565153888018,21.394568609822684,,,0,1
2024-02-01,10599.682016773286,10108.521399790201,10538.4111328125,1869594,93.57172480144158,75.20044371769016,-10.301757445819021,-70.18556380020524,59.88380635438622,,,0,1
2024-02-02,10611.371093899108,10441.773787484492,10555.7470703125,814940,94.23487054045022,92.41212255015735,33.083329011167734,-49.53178523793065,82.61511424909838,,,0,1
2024-02-05,10659.269199359662,10302.687062774168,10330.9697265625,365105,67.5828444537535,85.1298132652151,48.76651942320859,-29.872124305702805,78.6386437289114,,,0,1
2024-02-06,10755.164039381452,10360.145119289957,10743.375,829040,98.9366105510859,86.91810851509655,93.39660187867594,-5.218379068827058,98.614980947503,,,0,1
2024-02-07,10870.821112438412,10685.867868268413,10833.375,560808,96.94139090441266,87.82028196975068,134.47832913718776,22.720962572375907,111.75736656481185,,10833.375,-1,0
2024-02-08,10848.531903276515,10589.924731831308,10643.3701171875,557082,81.42173813051954,92.43324652867271,149.9752663474228,48.17182332738528,101.80344302003752,,,0,0
2024-02-09,10669.22562776843,10511.81206045936,10632.4228515625,645489,80.25029867696666,86.2044759039663,159.53433537854835,70.4443257376179,89.09000964093045,,,0,0
2024-02-12,10648.372974704322,10550.397988535142,10609.490234375,190655,78.3504847339265,80.00750718047091,163.3761968053168,89.03069995115769,74.34549685415911,,,0,0
2024-02-13,10728.663921007226,10540.590730377598,10693.49609375,397979,85.30980828748444,81.30353056612587,171.22568731141473,105.46969742320911,65.75598988820562,,,0,0
2024-02-14,10946.60520352184,10603.248725012969,10924.76171875,354676,98.21234678129088,87.29087993423394,193.87282303771462,123.15032254611022,70.7225004916044,,,0,0
2024-02-15,11028.828503816698,10877.26012502536,10986.478515625,447248,96.60161348461395,93.37458951779642,214.33020578723335,141.38629919433487,72.94390659289849,,,0,0
2024-02-16,11372.581719015612,10994.156090386346,11273.9140625,716486,93.64392889654866,96.15262972081784,250.8448916717589,163.27801768981968,87.56687398193921,,,0,0
2024-02-19,11504.386986671423,11227.006934881085,11375.900390625,581383,92.37080008776061,94.20544748964107,284.73029406223577,187.56847296430288,97.16182109793289,,,0,0
