Date,High,Low,Close,Volume,upper_bb,middle_bb,lower_bb,%k,%d,buy_price,sell_price,bb_stoch_signal,position
2020-04-28,456.90047390794103,445.7048888284591,449.8978576660156,4972775,484.5691386639286,423.70324292786825,454.1361907958984,24.667515365283435,14.328992748601612,,,0,1
2020-04-29,464.1624950782666,451.36751039030776,457.0733947753906,6361689,484.8940337051489,424.5454499374292,454.71974182128906,34.703776612366525,24.506311198575016,,,0,1
2020-04-30,477.9948888459931,460.2288952275463,472.24578857421875,8931956,486.3052220833315,426.7782282340513,456.5417251586914,55.92506020237303,38.432117393340995,,,0,1
2020-05-04,449.33594076559183,430.5325608489942,434.37969970703125,14814506,486.8633997253941,424.11493889765273,455.4891693115234,8.105668264481917,32.911501693073824,,,0,1
2020-05-05,444.364892803614,430.70543778042145,432.2183532714844,5717678,481.4603205479317,423.85105945695113,452.6556900024414,3.5518536355755144,22.52752736747682,,,0,1
2020-05-06,440.12867901105955,423.6162838928905,438.1835021972656,3781531,481.6137776435179,423.3215311943727,452.4676544189453,26.788510512430808,12.815344137496078,,,0,1
2020-05-07,454.6094849555034,437.75130963054687,446.3965148925781,6799899,481.53069750555,423.0112489055828,452.2709732055664,41.891900351864166,24.077421499956827,,,0,1
2020-05-08,465.63210520597175,448.86038927855884,463.5572814941406,6016020,479.41665038317296,423.9452240064754,451.6809371948242,73.44983865565544,47.37674983998347,,,0,1
2020-05-11,470.12770309078917,455.7766391541142,458.3702087402344,4272574,474.1742870032592,426.70640147330323,450.4403442382812,63.911026914567735,59.75092197402912,,,0,1
2020-05-12,466.4102893083575,453.87470229265557,461.00701904296875,5691969,472.1331835432699,427.71008122723794,449.92163238525393,68.76001174050879,68.70695910357732,,,0,1
2020-05-13,475.27162105285447,459.40764171131957,470.9490051269531,3296409,474.7250775280693,426.66568785279014,450.6953826904297,87.04291195936983,73.23798353814878,,,0,1
2020-05-14,462.519912467753,444.32170964261064,445.8346252441406,6148398,472.7470821578866,426.65960119172274,449.7033416748047,40.85860858404098,65.55384409463987,,,0,1
2020-05-15,449.5520482074337,438.65905099346907,441.3822937011719,3628530,472.7243372143267,426.06853387942334,449.396435546875,32.67095546787783,53.52415867042955,,,0,1
2020-05-18,445.22944854029646,433.55838532613336,435.7629089355469,3283979,472.9662400490554,425.3252119773118,449.1457260131836,22.337139860671115,31.95556797086331,,,0,1
2020-05-19,449.2926869771389,435.11448635675964,443.154541015625,3041594,472.47704846783273,424.7553642518938,448.61620635986327,35.930044802702724,30.31271337708389,,,0,1
